timestamp,zone_id,zone_name,crowd_density,avg_wait_time_sec,entry_flow_rate_per_min,exit_flow_rate_per_min,incident_flag,staff_required,temperature_c
2026-04-17 16:00:00,Z01,Main Entrance,0.56,521,296,215,0,17,26
2026-04-17 16:00:30,Z02,North Gate,0.51,452,104,83,0,23,29
2026-04-17 16:01:00,Z03,South Gate,0.83,659,197,135,0,14,24
2026-04-17 16:01:30,Z04,East Gate,0.49,135,241,164,0,13,22
2026-04-17 16:02:00,Z05,West Gate,0.88,340,19,214,0,21,34
2026-04-17 16:02:30,Z06,Food Court A,0.39,225,105,42,0,9,31
2026-04-17 16:03:00,Z07,Food Court B,0.86,556,202,249,0,4,27
2026-04-17 16:03:30,Z08,Restroom Block 1,0.87,304,169,82,0,13,27
2026-04-17 16:04:00,Z09,Restroom Block 2,0.9,613,81,148,0,17,29
2026-04-17 16:04:30,Z10,Seating Section A,0.9,338,274,29,0,17,33
2026-04-17 16:05:00,Z11,Seating Section B,0.41,941,288,221,0,22,32
2026-04-17 16:05:30,Z12,VIP Lounge,0.55,456,121,207,0,16,35
2026-04-17 16:06:00,Z01,Main Entrance,0.72,1010,101,190,0,17,24
2026-04-17 16:06:30,Z02,North Gate,0.86,570,172,179,0,6,30
2026-04-17 16:07:00,Z03,South Gate,0.69,177,264,236,0,21,29
2026-04-17 16:07:30,Z04,East Gate,0.97,1199,13,227,0,2,32
2026-04-17 16:08:00,Z05,West Gate,0.77,794,113,93,0,10,24
2026-04-17 16:08:30,Z06,Food Court A,0.68,1123,266,224,0,7,22
2026-04-17 16:09:00,Z07,Food Court B,0.58,724,136,115,0,21,32
2026-04-17 16:09:30,Z08,Restroom Block 1,0.4,605,267,192,0,22,24
2026-04-17 16:10:00,Z09,Restroom Block 2,0.79,1057,285,178,1,12,28
2026-04-17 16:10:30,Z10,Seating Section A,0.58,755,290,75,0,5,27
2026-04-17 16:11:00,Z11,Seating Section B,0.98,672,138,145,0,7,23
2026-04-17 16:11:30,Z12,VIP Lounge,0.4,1028,279,134,0,23,26
2026-04-17 16:12:00,Z01,Main Entrance,0.92,824,87,116,0,11,22
2026-04-17 16:12:30,Z02,North Gate,0.84,1131,266,231,0,6,35
2026-04-17 16:13:00,Z03,South Gate,0.38,968,165,98,0,13,35
2026-04-17 16:13:30,Z04,East Gate,0.87,766,186,207,1,22,27
2026-04-17 16:14:00,Z05,West Gate,0.84,1153,50,153,0,3,33
2026-04-17 16:14:30,Z06,Food Court A,0.8,1171,221,160,0,2,25
2026-04-17 16:15:00,Z07,Food Court B,0.58,820,145,68,0,16,33
2026-04-17 16:15:30,Z08,Restroom Block 1,0.98,157,219,186,0,10,31
2026-04-17 16:16:00,Z09,Restroom Block 2,0.72,315,139,161,0,17,22
2026-04-17 16:16:30,Z10,Seating Section A,0.91,281,195,157,0,21,24
2026-04-17 16:17:00,Z11,Seating Section B,0.64,88,74,64,0,17,27
2026-04-17 16:17:30,Z12,VIP Lounge,0.99,747,110,70,0,13,34
2026-04-17 16:18:00,Z01,Main Entrance,0.58,670,183,132,0,4,22
2026-04-17 16:18:30,Z02,North Gate,0.77,773,245,23,0,13,26
2026-04-17 16:19:00,Z03,South Gate,0.46,1189,293,18,0,20,28
2026-04-17 16:19:30,Z04,East Gate,0.58,638,185,180,0,7,34
2026-04-17 16:20:00,Z05,West Gate,0.89,762,99,185,0,4,30
2026-04-17 16:20:30,Z06,Food Court A,0.67,920,223,125,0,4,24
2026-04-17 16:21:00,Z07,Food Court B,0.76,1175,272,104,0,14,33
2026-04-17 16:21:30,Z08,Restroom Block 1,0.44,1172,204,84,0,24,25
2026-04-17 16:22:00,Z09,Restroom Block 2,0.8,927,134,235,0,14,26
2026-04-17 16:22:30,Z10,Seating Section A,0.89,65,117,22,1,18,29
2026-04-17 16:23:00,Z11,Seating Section B,0.88,827,280,18,0,21,27
2026-04-17 16:23:30,Z12,VIP Lounge,0.38,1114,277,245,0,16,32
2026-04-17 16:24:00,Z01,Main Entrance,0.54,1037,111,240,0,19,29
2026-04-17 16:24:30,Z02,North Gate,0.65,336,29,14,0,20,27
2026-04-17 16:25:00,Z03,South Gate,0.57,1144,104,32,0,11,26
2026-04-17 16:25:30,Z04,East Gate,0.82,705,248,120,0,11,30
2026-04-17 16:26:00,Z05,West Gate,0.8,816,243,148,0,5,32
2026-04-17 16:26:30,Z06,Food Court A,0.76,628,158,15,0,12,31
2026-04-17 16:27:00,Z07,Food Court B,0.99,935,46,131,0,4,29
2026-04-17 16:27:30,Z08,Restroom Block 1,0.64,830,40,237,0,21,25
2026-04-17 16:28:00,Z09,Restroom Block 2,0.9,1058,280,29,0,18,25
2026-04-17 16:28:30,Z10,Seating Section A,0.4,607,101,196,0,3,29
2026-04-17 16:29:00,Z11,Seating Section B,0.48,624,118,109,0,7,22
2026-04-17 16:29:30,Z12,VIP Lounge,0.77,1039,168,72,0,2,27
2026-04-17 16:30:00,Z01,Main Entrance,0.98,1042,188,242,0,4,29
2026-04-17 16:30:30,Z02,North Gate,0.67,451,99,8,0,5,28
2026-04-17 16:31:00,Z03,South Gate,0.46,811,100,145,0,8,32
2026-04-17 16:31:30,Z04,East Gate,0.82,842,127,72,0,4,34
2026-04-17 16:32:00,Z05,West Gate,0.47,839,37,145,0,12,30
2026-04-17 16:32:30,Z06,Food Court A,0.91,435,279,117,0,8,31
2026-04-17 16:33:00,Z07,Food Court B,0.89,229,121,29,0,9,28
2026-04-17 16:33:30,Z08,Restroom Block 1,0.39,1124,148,136,0,18,23
2026-04-17 16:34:00,Z09,Restroom Block 2,0.65,1119,247,137,0,3,27
2026-04-17 16:34:30,Z10,Seating Section A,0.82,910,271,173,0,4,35
2026-04-17 16:35:00,Z11,Seating Section B,0.65,256,192,13,0,15,29
2026-04-17 16:35:30,Z12,VIP Lounge,0.63,463,212,220,0,4,25
2026-04-17 16:36:00,Z01,Main Entrance,0.44,483,199,64,0,9,31
2026-04-17 16:36:30,Z02,North Gate,0.43,968,276,191,0,9,25
